0001,0001912776480569,$150.00
0002,0002874805285816,$150.00
0003,0003659814548058,$150.00
0004,0004744805576256,$150.00
0005,0005494805718745,$150.00
0006,0006635480526048,$150.00
0007,0007804805073818,$150.00
0008,0008480513589910,$150.00
0009,0009058948058621,$150.00
0010,0010346522548058,$150.00
0011,0011455480562587,$150.00
0012,0012807648051897,$150.00
0013,0013486572548059,$150.00
0014,0014456480549782,$150.00
0015,0015850099480569,$150.00
0016,0016048055760966,$150.00
0017,0017448051955397,$150.00
0018,0018948058743153,$150.00
0019,0019048052794256,$150.00
0020,0020812548056982,$150.00
0021,0021726343548053,$150.00
0022,0022648053110592,$150.00
0023,0023024480561719,$150.00
0024,0024448057936256,$150.00
0025,0025624647674805,$150.00
0026,0026204805907564,$150.00
0027,0027088031480514,$150.00
0028,0028103254805211,$150.00
0029,0029080006124805,$150.00
0030,0030028957480529,$150.00
0031,0031526048059089,$150.00
0032,0032060348053628,$150.00
0033,0033915948050315,$150.00
0034,0034068548054225,$150.00
0035,0035848762480526,$150.00
0036,0036848052217039,$150.00
0037,0037095248054658,$150.00
0038,0038256360164805,$150.00
0039,0039748057378251,$150.00
0040,0040160480587904,$150.00
0041,0041211480507651,$150.00
0042,0042480521338095,$150.00
0043,0043480544510221,$150.00
0044,0044760141480520,$150.00
0045,0045084110848050,$150.00
0046,0046763048054252,$150.00
0047,0047872323480501,$150.00
0048,0048148056787404,$150.00
0049,0049988480529876,$150.00
0050,0050675480536899,$150.00
0051,0051854805163925,$150.00
0052,0052480528667236,$150.00
0053,0053645304744805,$150.00
0054,0054705917480527,$150.00
0055,0055234805139108,$150.00
0056,0056545048948050,$150.00
0057,0057268348058070,$150.00
0058,0058355784848059,$150.00
0059,0059551839480590,$150.00
0060,0060434805557496,$150.00
0061,0061480599100895,$150.00
0062,0062248052099748,$150.00
0063,0063480524161125,$150.00
0064,0064612822648052,$150.00
0065,0065934164805164,$150.00
0066,0066448051919874,$150.00
0067,0067148054219963,$150.00
0068,0068265248052757,$150.00
0069,0069389530504805,$150.00
0070,0070453232480554,$150.00
0071,0071124805381387,$150.00
0072,0072574651624805,$150.00
0073,0073480544372936,$150.00
0074,0074023559480517,$150.00
0075,0075560664480536,$150.00
0076,0076480539762564,$150.00
0077,0077774214805979,$150.00
0078,0078850248055909,$150.00
0079,0079340480505955,$150.00
0080,0080772304480521,$150.00
0081,0081948059435995,$150.00
0082,0082304805655691,$150.00
0083,0083839251480570,$150.00
0084,0084735344805978,$150.00
0085,0085104297480544,$150.00
0086,0086148056613369,$150.00
