0001,0001286454787030,$200
0002,0002346884787263,$200
0003,0003586478734904,$200
0004,0004690597447878,$200
0005,0005463724647875,$200
0006,0006341947871294,$200
0007,0007517478750389,$200
0008,0008644787697357,$200
0009,0009354787861020,$200
0010,0010324787310650,$200
0011,0011596594787475,$200
0012,0012047871063266,$200
0013,0013727909478712,$200
0014,0014206478731430,$200
0015,0015209478766873,$200
0016,0016433478789422,$200
0017,0017478738561461,$200
0018,0018046066954787,$200
0019,0019500791944787,$200
0020,0020223794787872,$200
0021,0021187354787828,$200
0022,0022516904787990,$200
0023,0023686847876807,$200
0024,0024973807854787,$200
0025,0025224947875487,$200
0026,0026947876350517,$200
0027,0027478750675165,$200
0028,0028478718603608,$200
0029,0029861478777213,$200
0030,0030576734787460,$200
0031,0031207147874825,$200
0032,0032478720982339,$200
0033,0033972062547878,$200
0034,0034987175047876,$200
0035,0035629478781088,$200
0036,0036309478753535,$200
0037,0037149160544787,$200
0038,0038377543347879,$200
0039,0039478793449576,$200
0040,0040194787663742,$200
0041,0041478751171697,$200
0042,0042730947877263,$200
0043,0043194478767956,$200
0044,0044135564787722,$200
0045,0045478770254405,$200
0046,0046804478789839,$200
0047,0047538816004787,$200
0048,0048799514787669,$200
0049,0049153847879463,$200
0050,0050459478720871,$200
0051,0051795172478731,$200
0052,0052379046574787,$200
0053,0053794787185787,$200
0054,0054947876787818,$200
0055,0055954542047870,$200
0056,0056724478799246,$200
0057,0057475847878419,$200
0058,0058478770174735,$200
0059,0059393334787949,$200
0060,0060747873236712,$200
0061,0061864787473300,$200
0062,0062478713922036,$200
0063,0063855478773407,$200
0064,0064167562478798,$200
0065,0065815836478791,$200
0066,0066115653478700,$200
0067,0067904787119263,$200
0068,0068595444787401,$200
0069,0069825247875356,$200
0070,0070921379478776,$200
0071,0071164787068898,$200
0072,0072447435147873,$200
0073,0073076507478742,$200
0074,0074393447877184,$200
0075,0075147874916230,$200
0076,0076047478764601,$200
0077,0077004787287579,$200
0078,0078524147877649,$200
0079,0079636747879851,$200
0080,0080771814787517,$200
0081,0081799624787437,$200
0082,0082019944478735,$200
0083,0083474787670086,$200
0084,0084843147879152,$200
0085,0085258512478718,$200
